7.1,9.39,14.57
6.12,11.13,12.83
6.87,9.94,13.66
7.07,9.82,14.55
5.12,7.76,14.47
5.47,9.44,13.01
5.85,9.27,14.63
6,7.8,13.88
5.44,8.46,12.76
7.46,11.09,14.48
7.24,11.9,13.57
7.37,11.04,14.68
7.15,10.44,12.83
5.12,11.13,12.9
5.15,10.7,13.41
7.01,7.82,14.02
6.64,9.09,13.3
5.63,7.94,12.99
5.2,9.73,14.9
6.42,7.75,13.86
5.96,9.47,14.77
5.72,11.52,13.96
6.35,8.94,13.1
6.16,10.1,14.79
6.55,10.82,13.77
5.57,10.66,14.61
6.65,11.76,14.71
6.3,8.53,13.93
6.49,8.09,13.49
5.18,11.38,13.7
5.31,8.36,13.99
6.95,10.55,13.08
5.67,9.11,12.79
6.88,9.68,14.78
5,9.51,13.08
6.28,7.54,13.82
7.42,11.49,12.61
6.31,10.62,13.61
5.93,8.98,14.03
6.61,10.44,12.52
5.71,8.9,14.91
6.01,7.6,12.62
5.69,7.93,13.3
5.88,10.99,14.68
6.4,10.54,12.79
6.6,12.44,14.89
6.04,8.27,13.27
6.09,9.87,14.58
5.86,12.05,13.71
5.44,10.01,13.28
7.27,9.39,14.49
5.99,8.69,14.99
6.96,9.45,13.92
6.31,9.29,13.25
6.6,9.41,13.65
5.57,9.33,12.96
6,8.8,13.06
6.13,12.02,14.27
6.31,11.74,14.1
7.15,9.64,12.66
7.02,10.85,14.3
6.52,7.69,12.64
7.4,12.21,13.84
5.12,8.28,12.52
5.8,10.04,14.86
7.33,11.98,13.04
5.32,8.59,13.67
5.11,11.37,12.91
6.69,7.65,14.4
7.12,11.97,14.33
5.62,11.32,13.06
5.29,9.48,12.83
6.52,11.74,14.25
6.88,9.46,13.81
5.8,10.06,13.4
5.21,12.36,12.77
6.03,10.75,14.49
6.81,9.05,14.26
5.3,7.61,13.58
5.92,11.64,14.64
6.47,8.8,13.7
7.1,11.13,13.78
5.55,11.28,13.11
5.78,9.88,13.56
7.48,10.78,14.52
7.21,8.45,12.78
6.98,11.35,14.86
5.24,8.18,12.73
7.34,12.26,13.83
5.38,11.45,13.89
7.29,7.8,12.71
