6.25,8.92,14.78
6.6,9.36,15
6.69,12.43,14.9
6.34,10.63,13.84
5.55,11.91,13.91
7,12.28,14.93
6.57,11.31,14.39
6.49,7.91,12.98
7.4,11.17,13.4
7.45,11.19,12.95
5.93,10.13,13.83
6.68,8.66,12.72
6.85,11.56,12.81
7.48,12.15,14.95
7.03,9,12.66
6.01,8.3,14.29
5.12,11.28,14.77
7.49,7.83,13.86
6.72,10.66,13.8
6.32,8.31,14.11
6.27,11.05,14.93
6.53,8.6,14.61
6.67,8.37,14.41
5.34,8.98,13.5
6.18,12.17,13.36
6.93,10.8,12.85
5.42,9.46,14.1
7.21,8.37,14.66
5.19,10.51,12.8
5.54,7.92,13.29
6.56,10.86,13.84
7.09,11.43,12.81
6.7,11.57,13.78
6.51,8.41,13.09
6.18,9.21,13.65
7,10.81,14.05
6.4,7.67,14.45
5.99,10.71,13.47
5.17,9.12,13.41
5.82,8,12.51
6,10.27,12.94
7.24,8.94,12.83
7.11,9.05,12.81
6.2,7.55,13.33
5.66,8.27,12.89
7.26,11.21,14.54
5.36,8.02,14.21
6.37,10.42,13.92
7,10.78,14.41
6.6,10.89,13.72
6.73,7.62,13.33
6.25,10.95,12.93
5.65,8.34,13.67
5.14,8.18,13.78
6.98,11.45,14.7
7.15,10.1,12.59
6.55,11.86,12.73
6.37,11.49,13.36
7.35,11.75,14.4
5,9.24,12.75
6.2,8.91,14.95
6.96,9.77,12.99
6.47,11.26,13.49
5.43,9.97,13.46
6.15,9.73,13.84
6.63,11.95,13.51
6.81,10.89,13.68
5.18,9.85,14.89
5.54,8.17,13.73
6.52,8.64,14
5.92,8.5,13.23
6.38,10.94,13.33
5.28,9.21,14.65
5.69,9.95,14.04
6.72,11.84,14.79
6.15,7.71,14.32
5.36,10.24,14.9
6.34,9.08,13.79
5.54,9.94,13.72
5.44,8.37,13.66
5.83,10.61,13.45
6.54,11.91,13.45
6.93,11.63,13.05
5.19,9.43,15
5.9,9.92,13.61
6.1,10.6,14.31
6.19,11.36,13.13
5.23,8.66,13.23
5.35,8.78,14.55
5.47,11.07,14.58
5.28,8.97,14
5.59,10.11,14.53
5.77,10.35,12.94
7.09,10.65,13.55
6.49,10.54,14.68
5.97,10.88,13.1
5.77,9.04,13.72
6.43,10.88,12.58
6.53,8.97,14.93
6.52,10.72,13.81
7.34,7.75,13.41
7.05,9.57,12.76
7.48,11.89,13.27
6.63,9.76,14.45
7.03,9.31,13.43
5.61,8.14,13.01
5.13,11.73,14.16
6.9,12.02,14.12
7.12,10.46,13.84
5.05,10.15,14.78
6.49,11.15,13.33
7.06,11.99,14.61
5,11.27,13.48
6.8,10.82,14.9
6.02,10.88,13.55
5.08,8.61,13.03
6.52,10.72,14.01
6.67,8.48,12.98
6.47,8.64,14.41
5.44,9.07,14.67
6.44,9.78,13.56
6.21,7.73,13.24
6.26,9.66,12.81
5.54,8.23,13.96
7.45,11.38,14.83
7.1,10.91,13.47
5.95,11.92,13.05
5.72,9.59,12.5
7.36,10.63,12.96
6,9.23,13.15
5.62,9.52,14.6
7.21,7.73,12.52
6.97,9.66,13.75
5.28,9.27,14.1
7.17,10.97,12.74
6.19,8.84,14.9
6.73,10.13,13.79
5.81,8.72,12.59
5.87,12.39,12.72
6.05,9.56,14.18
5.82,8.24,12.63
6.38,8.16,13.39
5.36,12.15,14.9
5.63,10.62,14.1
5.6,12.12,14.25
5.23,10.57,14.79
5.58,10.47,14.64
7.03,8.24,14.36
7.23,8.94,12.58
6.42,11.26,13.26
5.31,8.39,13.46
6.19,10.54,13.35
6.07,11.61,13.1
5.73,10.07,13.41
7.21,7.85,13.72
5.18,8.32,12.64
7.07,9.84,13.31
6.69,7.81,14.3
5.93,7.59,14.12
5.32,10.44,14.07
6.2,7.85,14.6
5.13,7.52,14.45
6.04,11.32,14.66
6.68,7.5,12.69
5.44,9.53,14.7
6.32,11.9,14.26
7.34,10.35,12.53
6.92,7.95,12.96
6.93,10.75,14.26
6.6,11.64,13.27
6.1,10.63,13.99
5.41,10.96,12.81
6.47,8.93,13.39
7.43,7.54,12.99
7.31,11.2,14.31
5.2,8.94,13.13
5.78,7.93,13.61
6.38,12.26,13.83
6.19,11.93,13.8
6.11,8.02,13.89
6.52,8.43,13.77
5.86,12.34,13.49
7.33,10.97,13.78
6.71,10.19,14.05
6.31,12.21,13.44
6.18,11.39,13.43
6.82,9.53,13.7
6.72,7.74,13.12
7.21,12.33,12.98
5.43,9.71,13.59
6.93,9.45,14.81
7.19,9.79,13.97
6.43,11.92,14.92
7.39,11.23,14.45
5.07,8.59,14.58
6.43,10.14,14.05
5.47,9.61,14.03
6.11,9.83,14.5
6.55,10.04,13.21
5.51,9.24,14.21
6.49,8.62,13.12
7.32,8.28,14.34
6,12.01,14.96
6.81,8.87,12.64
7.38,9.69,14.86
6.04,10.25,13.26
5.34,12.26,14.64
6.07,8.56,13.15
6.19,10.01,13.71
7.42,9.46,13.98
6.76,9.99,13.8
7.41,7.54,14.66
7.04,11.4,13.97
7.24,11.81,14.74
5.97,8.94,14.97
6.88,10.7,14.79
6.54,10.15,12.83
5.1,11.35,12.91
6.36,10.63,14.7
6.9,11.49,14.25
5.78,10.83,14.23
7.28,11.39,12.53
5.25,11.26,13.59
6.02,12.45,14.41
7.4,9.6,13.93
6,8.39,14.16
6.93,8.78,12.53
6.24,10.68,13.79
5.37,7.67,13.83
5.74,10.15,14.76
6.84,9.15,12.63
7.02,10.41,14.58
5.94,7.85,14.03
5.76,12.07,13.12
5.82,11.22,14.86
5.71,12.15,14.69
7.03,11.61,13.93
6.81,9.09,13.69
